g_m_t,airport_id,iata_code,city_iata,icao_code,geoname_id,latitude,longitude,airport_name,country
1,8306,VIE,VIE,LOWW,2761369.0,48.11972,16.563583,Vienna International,Austria
1,8776,XGZ,XGZ,,2781503.0,47.50311,9.7471,Bregenz Railway Station,Austria
1,8838,XJS,XJS,,0.0,0.0,0.0,Kitzbuehl Railway,Austria
1,8913,XOH,XJS,,0.0,0.0,0.0,Kitzbuehel Bus Station,Austria
1,8914,XOI,XOI,,2775183.0,47.01257,10.29179,Ischgl Bus Station,Austria
1,8920,XOO,XOO,,0.0,0.0,0.0,Soelden Bus Station,Austria
1,8925,XOV,ANT,,0.0,0.0,0.0,St Anton Bus Station,Austria
1,8926,XOW,XOW,,2765282.0,48.71667,16.16667,Seefeld Bus Station,Austria
1,9032,XWC,VIE,,0.0,48.2081743,16.3738189,Suedbahnhof Railway,Austria
1,9048,XWT,VIE,,0.0,48.2081743,16.3738189,Mitte CAT Rail Station,Austria
1,9050,XWW,VIE,,0.0,48.2081743,16.3738189,Westbahnhof Railway,Austria
1,9918,ZRS,ZRS,,0.0,0.0,0.0,Flexenpass Heliport,Austria
1,9927,ZSB,SZG,,0.0,47.80949,13.05501,Salzburg Hbf Railway Station,Austria
10,2,AAB,AAB,YARY,7730796.0,-26.7,141.04167,Arrabury,Australia
10,31,ABG,ABG,,8288517.0,-17.666668,143.2,Abingdon,Australia
10,32,ABH,ABH,YAPH,7668679.0,-23.65,146.63333,Alpha,Australia
10,37,ABM,ABM,YBAM,7730800.0,-10.942619,142.45033,Bamaga Injinoo,Australia
10,48,ABX,ABX,YMAY,6301309.0,-36.069626,146.95453,Albury,Australia
9.30,83,ADL,ADL,YPAD,6301322.0,-34.938175,138.53735,Adelaide International Airport,Australia
9.30,86,ADO,ADO,YAMK,7730805.0,-31.016666,137.15,Andamooka,Australia
10,149,AGW,AGW,,7730809.0,-12.15,142.15,Agnew,Australia
8,234,ALH,ALH,YABA,2078285.0,-34.944996,117.804,Albany,Australia
9.30,269,AMT,AMT,YAMT,7730823.0,-26.766666,132.03334,Amata,Australia
9.30,273,AMX,AMX,YAMM,7730824.0,-21.74,135.24,Ammaroo,Australia
9.30,300,ANZ,ANZ,,8298801.0,-25.083332,132.16667,Angus Downs,Australia
10,362,ARM,ARM,YARM,7730238.0,-30.532297,151.61493,Armidale,Australia
10,373,ARY,ARY,YARA,7668680.0,-37.316666,143.0,Ararat,Australia
9.30,390,ASP,ASP,YBAS,6301291.0,-23.80139,133.90338,Alice Springs,Australia
10,428,AUD,AUD,YAGD,7730834.0,-18.506945,139.88167,Augustus Downs,Australia
10,445,AUU,AUU,YAUR,7668683.0,-13.166667,142.25,Aurukun Mission,Australia
9.30,453,AVG,AVG,YAUV,7730836.0,-15.65,130.01666,Auvergne,Australia
10,461,AVV,MEL,YMAV,6301308.0,-38.02637,144.47308,Avalon,Australia
9.30,470,AWN,AWN,,8299001.0,-26.25,138.66667,Alton Downs,Australia
9.30,471,AWP,AWP,YAUS,7730838.0,-20.5,137.75,Austral Downs,Australia
10,475,AXC,AXC,YAMC,7730839.0,-22.958055,145.2425,Aramac,Australia
9.30,480,AXL,AXL,YALX,7730840.0,-19.083332,136.66667,Alexandria,Australia
9.30,492,AYD,AYD,,7730841.0,-19.3,135.95,Alroy Downs,Australia
9.30,496,AYL,AYL,,7730843.0,-18.033333,135.53334,Anthony Lagoon,Australia
9.30,500,AYQ,AYQ,YAYE,6301288.0,-25.190878,130.97658,Connellan,Australia
10,501,AYR,AYR,YAYR,7730845.0,-19.596666,147.32445,Ayr,Australia
10,576,BCI,BCI,YBAR,7730239.0,-23.559168,145.30194,Barcaldine,Australia
10,577,BCK,BCK,,7730849.0,-17.4,144.16667,Bolwarra,Australia
9.30,592,BCZ,BCZ,,0.0,-13.783333,137.8,Bickerton Island,Australia
