age_fleet,airline_id,callsign,code_hub,code_iata_airline,code_icao_airline,code_iso2_country,iata_prefix_accounting,name_airline,name_country,size_airline,status_airline,type
0.0,3311,WORLDWIDE,UNKNOWN,T8*,WWI,US,,Worldwide Jet Charter,United States,0,active,Unknown
0.0,3357,Unknown,OXC,TJ,GPD,US,492.0,"Tradewind Aviation, LLC",United States,0,active,scheduled
0.0,3398,Unknown,UNKNOWN,U3*,,US,,Paramount Jet Ltd,United States,0,active,Unknown
0.0,3414,ULTIMATE,CAK,UE,UJC,US,327.0,Ultimate Jetcharters LLC dba Ultimate Air Shuttle,United States,0,active,charter
0.0,3454,AEROSUN,UNKNOWN,UR,ASI,US,,Aerosun International,United States,0,active,Unknown
0.0,3460,US AIR,PHX,US,AWE,US,37.0,US Airways,United States,0,active,scheduled
0.0,3464,UNIVERSAL,UNKNOWN,UV,UVA,US,,"Universal Airways, Inc.",United States,0,active,Unknown
0.0,3477,Unknown,UNKNOWN,V1,,US,,"IBS Software Services Americas, Inc.",United States,0,active,Unknown
0.0,3583,Unknown,DCA,VV,CNV,US,,United States Navy,United States,0,active,government
0.0,3670,WORLD AIRWAYS,ATL,WO,WOA,US,468.0,World Airways,United States,0,active,charter
0.0,3673,SWIFTFLIGHT,UNKNOWN,WQ,SWQ,US,,"SWIFT AIR,L.L.C.",United States,0,active,Unknown
0.0,3686,KHAKI BLUE,UNKNOWN,WV,KKB,US,,Air South,United States,0,active,Unknown
0.0,3710,Unknown,JNU,X4,,US,,Alaska Seaplanes,United States,0,active,scheduled
0.0,3730,ROCKFISH,UNKNOWN,XA,XAA,US,,"ARINC (Aeronautical Radio, Inc.)",United States,0,active,Unknown
0.0,3735,Unknown,UNKNOWN,XD,ATA,US,,Air Transport Association of America (ATA),United States,0,active,Unknown
0.0,3736,Unknown,UNKNOWN,XD,XXD,US,,OAG,United States,0,active,Unknown
0.0,3738,Unknown,UNKNOWN,XD,,US,,"Scheduled Airlines Traffic Offices, Inc.",United States,0,active,Unknown
0.0,3742,SOUTH CENTRAL,UNKNOWN,XE,SCA,US,,South Central Air,United States,0,active,Unknown
0.0,3751,Unknown,UNKNOWN,XH,XXH,US,,Special Ground Handling Service -XH,United States,0,active,Unknown
0.0,3835,Unknown,MIA,YH,,US,361.0,Sunsplash Aviation,United States,0,active,charter
0.0,3838,AIR SUNSHINE,FLL,YI,RSI,US,806.0,Air Sunshine,United States,0,active,scheduled
0.0,3858,SCENIC,VGT,YR,SCE,US,398.0,"Grand Canyon Airlines, Inc. dba Scenic Airlines",United States,0,active,charter
