status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
en-route,B38M,4D24CC,B38M,9H-VVK,FR,RYR,BRS,EGGD,BZG,EPBY,FR9504,RYR9504,9504,419.1,262.0,53.0937,17.9415,283.356,0.0,0.0,,2025-11-14 09:13:32+00:00
en-route,B738,4D223B,B738,9H-QCQ,FR,RYR,BGY,LIME,DUB,EIDW,FR4038,RYR4799,4038,11277.6,138.11,48.8568,2.5469,748.872,0.0,0.0,5261.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA8D9,B738,EI-ENN,FR,RYR,VIE,LOWW,AGA,GMAD,FR5545,RYR7469,5545,9083.04,74.11,47.1624,14.9368,737.496,0.0,-18.72,1000.0,2025-11-14 09:14:52+00:00
en-route,B38M,4CAE61,B38M,EI-IJL,FR,RYR,SOF,LBSF,MLA,LMML,FR3833,RYR3QC,3833,9578.34,56.57,36.4883,15.9046,803.376,0.0,22.248,,2025-11-14 09:14:52+00:00
en-route,B738,4CAFD0,B738,EI-GXK,FR,RYR,ACE,GCRR,RAK,GMMX,FR493,RYR493,493,8130.54,218.0,31.4736,-8.3324,698.204,0.0,0.0,,2025-11-14 09:12:47+00:00
en-route,B38M,4CAC86,B38M,EI-HMZ,FR,RYR,MXP,LIMC,MAN,EGCC,FR6816,RYR5423,6816,11582.4,178.29,48.5724,6.6662,742.968,0.0,-2.34,7502.0,2025-11-14 09:14:52+00:00
en-route,B738,48C1A4,B738,SP-RNE,FR,RYR,VIE,LOWW,BRI,LIBD,FR9005,RYR9005,9005,6202.68,355.72,47.315,16.0852,694.584,0.0,-17.568,,2025-11-14 09:14:51+00:00
en-route,B738,4D23FD,B738,9H-QEU,FR,RYR,BCN,LEBL,VCE,LIPZ,FR776,RYR405,776,3893.82,195.91,41.615,2.1459,439.092,0.0,-9.36,,2025-11-14 09:14:52+00:00
en-route,B738,48C228,B738,SP-RSI,FR,RYR,BGY,LIME,TIA,LATI,FR8350,RYR31YN,8350,7139.94,304.0,41.5697,19.0428,703.76,0.0,0.0,,2025-11-14 09:12:43+00:00
en-route,B738,4D2269,B738,9H-QAU,FR,RYR,STN,EGSS,TFS,GCTS,FR8653,RYR8653,8653,10972.8,7.11,49.6277,-1.0043,927.576,0.0,-1.188,7470.0,2025-11-14 09:14:52+00:00
landed,B738,4CAFC1,B738,EI-GSJ,FR,RYR,OPO,LPPR,SVQ,LEZL,FR5466,RYR8MK,5466,0.0,50.0,41.238,-8.6736,1.852,1.0,0.0,2632.0,2025-11-14 09:12:48+00:00
started,B38M,48C2B2,B38M,SP-RZT,FR,RYR,KUN,EYKA,MAD,LEMD,FR102,RYR52TF,102,0.0,90.0,40.4877,-3.5662,51.84,1.0,0.0,1000.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA84A,B738,EI-EMB,FR,RYR,LPA,GCLP,FKB,EDSB,FR9698,RYR83DJ,9698,11277.6,216.0,30.6349,-12.2655,737.096,0.0,0.0,,2025-11-14 09:12:11+00:00
en-route,B38M,4CADF5,B38M,EI-IHJ,FR,RYR,PFO,LCPH,WAW,EPWA,FR5881,RYR2XX,5881,11277.6,169.26,49.1874,21.6934,874.656,0.0,0.0,5563.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA84E,B738,EI-EMF,FR,RYR,HHN,EDFH,ALC,LEAL,FR2662,RYR84ND,2662,10965.2,9.69,40.5579,1.0712,924.372,0.0,-1.188,5531.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA8D7,B738,EI-ENL,FR,RYR,BER,EDDB,STN,EGSS,FR176,RYR6EM,176,3070.86,103.87,52.4892,12.5891,633.348,0.0,-10.548,2264.0,2025-11-14 09:14:52+00:00
Unknown,B38M,4CAE48,B38M,EI-IHV,FR,RYR,BHX,EGBB,DUB,EIDW,FR662,RYR6AT,662,6812.28,98.54,53.1203,-3.3522,661.068,0.0,-15.228,7756.0,2025-11-14 09:14:52+00:00
en-route,B738,4D2272,B738,9H-QDH,FR,RYR,EIN,EHEH,BDS,LIBR,FR3237,RYR9HH,3237,11582.4,318.15,43.7579,15.2437,785.628,0.0,0.0,3725.0,2025-11-14 09:14:51+00:00
en-route,B738,48C135,B738,SP-RKZ,FR,RYR,BGY,LIME,MAD,LEMD,FR5121,RYR62FA,5121,5204.46,7.3,40.6614,-3.2798,685.224,0.0,16.38,4606.0,2025-11-14 09:14:52+00:00
started,B38M,4D234E,B38M,9H-VUO,FR,RYR,POZ,EPPO,ALC,LEAL,FR7579,RYR7579,7579,0.0,278.44,38.2803,-0.5443,112.968,1.0,0.0,,2025-11-14 09:14:52+00:00
landed,B38M,48C2AD,B38M,SP-RZN,FR,RYR,STN,EGSS,GDN,EPGD,FR532,RYR39PP,532,0.0,132.0,51.8906,0.2553,14.816,1.0,0.0,3102.0,2025-11-14 09:13:09+00:00
en-route,B738,4D2237,B738,9H-QAQ,FR,RYR,REG,LICR,STN,EGSS,FR5411,RYR5411,5411,11887.2,107.44,50.8179,4.1477,846.396,0.0,0.0,7537.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA24F,B738,EI-DCW,FR,RYR,MXP,LIMC,BRI,LIBD,FR277,RYR1PM,277,10972.8,300.53,42.6167,14.1569,791.208,0.0,0.0,1000.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA853,B738,EI-EMK,FR,RYR,BRI,LIBD,STN,EGSS,FR1905,RYR59RR,1905,11887.2,145.56,46.1241,11.749,828.576,0.0,0.0,3450.0,2025-11-14 09:14:52+00:00
en-route,B738,4CAFB4,B738,EI-GSH,FR,RYR,RBA,GMME,DUB,EIDW,FR162,RYR853Z,162,11277.6,170.63,41.8297,-8.5635,762.084,0.0,1.188,,2025-11-14 09:14:52+00:00
landed,B38M,4D236B,B38M,9H-VUU,FR,RYR,BCN,LEBL,MAN,EGCC,FR5271,RYR323Y,5271,0.0,244.0,41.303,2.0886,51.856,1.0,0.0,7570.0,2025-11-14 09:12:05+00:00
en-route,B738,4CA304,B738,EI-DLY,FR,RYR,DUB,EIDW,EDI,EGPH,FR809,RYR7ZQ,809,7315.2,202.21,54.5956,-5.3044,632.124,0.0,1.188,,2025-11-14 09:14:52+00:00
en-route,B38M,4CAE4A,B38M,EI-IHX,FR,RYR,ALC,LEAL,FKB,EDSB,FR5958,RYR63XH,5958,11887.2,204.84,41.0143,3.3916,744.912,0.0,0.0,6725.0,2025-11-14 09:14:52+00:00
en-route,B38M,4CADE4,B38M,EI-IGY,FR,RYR,BER,EDDB,MAN,EGCC,FR1145,RYR59BB,1145,11277.6,90.33,52.7019,8.4876,964.908,0.0,0.0,1144.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA704,B738,EI-EBG,FR,RYR,STN,EGSS,PSR,LIBP,FR983,RYR8VX,983,11582.4,332.72,44.8522,12.565,795.996,0.0,0.0,1266.0,2025-11-14 09:14:52+00:00
en-route,B38M,4CAE6B,B38M,EI-IJX,FR,RYR,NAP,LIRN,LIS,LPPT,FR1317,RYR42LV,1317,350.52,49.0,40.8545,14.226,264.836,0.0,0.0,,2025-11-14 09:12:44+00:00
en-route,B38M,4D236C,B38M,9H-VUV,FR,RYR,DUB,EIDW,ARN,ESSA,FR312,RYR8EL,312,11582.4,251.61,58.2963,5.6948,727.956,0.0,0.0,,2025-11-14 09:14:50+00:00
started,B738,48C22D,B738,SP-RSN,FR,RYR,TIA,LATI,PRG,LKPR,FR8311,RYR6SL,8311,0.0,123.0,50.1091,14.2626,0.0,1.0,0.0,,2025-11-14 09:13:06+00:00
en-route,B738,4D222E,B738,9H-QAO,FR,RYR,LPA,GCLP,STN,EGSS,FR2842,RYR7BZ,2842,11285.2,206.0,34.9181,-12.0988,779.692,0.0,0.0,,2025-11-14 09:12:47+00:00
en-route,B38M,48C2AB,B38M,SP-RZL,FR,RYR,ALC,LEAL,CGN,EDDK,FR2106,RYR49ZK,2106,11887.2,191.4,43.8856,0.8827,712.26,0.0,0.0,4122.0,2025-11-14 09:14:52+00:00
en-route,B738,4CAFCF,B738,EI-GXJ,FR,RYR,BGY,LIME,BER,EDDB,FR2670,RYR377D,2670,11582.4,189.16,48.4659,13.0732,814.14,0.0,0.0,1121.0,2025-11-14 09:14:52+00:00
en-route,B738,4D21F1,B738,9H-QAI,FR,RYR,REG,LICR,KTW,EPKT,FR7104,RYR7104,7104,10668.0,194.85,41.5325,15.597,787.5,0.0,0.0,,2025-11-14 09:14:52+00:00
en-route,B738,4CA64E,B738,EI-DYL,FR,RYR,RAK,GMMX,BVA,LFOB,FR64,RYR3QH,64,7520.94,230.31,48.8508,0.6493,736.524,0.0,31.608,7670.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA9EB,B738,EI-EVN,FR,RYR,DUB,EIDW,BHX,EGBB,FR661,RYR1UE,661,2682.24,256.83,53.5903,-6.1731,593.424,0.0,-24.588,,2025-11-14 09:14:52+00:00
en-route,B738,4D21EB,B738,9H-QAC,FR,RYR,FCO,LIRF,MLA,LMML,FR8561,RYR7UE,8561,11582.4,336.78,39.1849,12.2738,793.98,0.0,0.0,,2025-11-14 09:14:52+00:00
started,B738,4CA242,B738,EI-DCL,FR,RYR,HHN,EDFH,CTA,LICC,FR1559,RYR47WT,1559,0.0,84.0,37.469,15.0726,27.78,1.0,0.0,,2025-11-14 09:12:43+00:00
en-route,B738,4CA76A,B738,EI-EFO,FR,RYR,MRS,LFML,OTP,LROP,FR3642,RYR7XM,3642,11582.4,276.59,44.9186,19.6124,758.772,0.0,0.0,7365.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA9D1,B738,EI-EVI,FR,RYR,WAW,EPWA,MAN,EGCC,FR8879,RYR8879,8879,11277.6,97.47,52.8342,15.1656,954.468,0.0,0.0,4646.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA8D8,B738,EI-ENM,FR,RYR,GOT,ESGG,MLA,LMML,FR4527,RYR4527,4527,11582.4,354.93,47.0854,14.4602,795.78,0.0,0.0,6574.0,2025-11-14 09:14:52+00:00
en-route,B738,48C12B,B738,SP-RKL,FR,RYR,BUD,LHBP,MLA,LMML,FR2203,RYR2203,2203,7886.7,55.82,46.7477,18.0329,606.636,0.0,-23.4,,2025-11-14 09:14:52+00:00
