airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
UA,UAL,LHR,EGLL,2,2025-11-09 21:10:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5338'}, {'airline_code': 'LH', 'flight_number': '9227'}, {'airline_code': 'OS', 'flight_number': '7804'}]",IAD,KIAD,,2025-11-09 08:50:00+00:00,122,"['N12125', 'N13110', 'N13113', 'N14102', 'N14106', 'N14107', 'N14118', 'N14121', 'N17104', 'N17105', 'N17122', 'N17126', 'N17128', 'N17133', 'N17139', 'N18112', 'N18119', 'N19117', 'N19130', 'N19136', 'N19141', 'N21108', 'N26123', 'N29124', 'N33103', 'N34131', 'N34137', 'N41135', 'N41140', 'N48127', 'N57111', 'N58101', 'N67134']"
UA,UAL,LAX,KLAX,8,2025-11-09 08:20:00+00:00,"[{'airline_code': 'CA', 'flight_number': '7235'}, {'airline_code': 'NZ', 'flight_number': '9391'}]",CLE,KCLE,,2025-11-09 06:26:00+00:00,1220,"['N14214', 'N14235', 'N24224', 'N25201', 'N26232', 'N27246', 'N33284', 'N37253', 'N37277', 'N76517', 'N77525', 'N79521', 'N64844', 'N66841', 'N69824', 'N69847']"
UA,UAL,LAX,KLAX,7,2025-11-09 19:23:00+00:00,"[{'airline_code': 'CM', 'flight_number': '8118'}, {'airline_code': 'NZ', 'flight_number': '9096'}]",HNL,PHNL,M,2025-11-09 10:40:00+00:00,1221,"['N12216', 'N12218', 'N14230', 'N14242', 'N16234', 'N17229', 'N17233', 'N18243', 'N26226', 'N26232', 'N27213', 'N27239', 'N33203', 'N33262', 'N33286', 'N33292', 'N34222', 'N34282', 'N35204', 'N35260', 'N35271', 'N36207', 'N36280', 'N37252', 'N37253', 'N37263', 'N37277', 'N37281', 'N54241', 'N73251', 'N73259', 'N73275', 'N73276', 'N73283', 'N76502', 'N76503', 'N76504', 'N76508', 'N76517', 'N76523', 'N76528', 'N76529', 'N77258', 'N77261', 'N77530', 'N78285', 'N78501', 'N78511', 'N87507', 'N87512', 'N87531', 'N37434', 'N37437', 'N53442', 'N66893']"
UA,UAL,BOS,KBOS,B,2025-11-09 12:21:00+00:00,"[{'airline_code': 'NZ', 'flight_number': '6469'}]",IAH,KIAH,C,2025-11-09 07:25:00+00:00,1222,"['N413UA', 'N433UA', 'N27477', 'N31412', 'N32404', 'N37409', 'N37422', 'N37456', 'N37464', 'N38424', 'N67845', 'N72405', 'N75410', 'N75433', 'N75435', 'N79402']"
UA,UAL,ORD,KORD,1,2025-11-09 11:08:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5564'}]",ORF,KORF,,2025-11-09 09:55:00+00:00,1223,Unknown
UA,UAL,HNL,PHNL,M,2025-11-09 14:16:00+00:00,"[{'airline_code': 'CM', 'flight_number': '8310'}, {'airline_code': 'NZ', 'flight_number': '9039'}]",LAX,KLAX,7,2025-11-09 11:13:00+00:00,1224,"['N12225', 'N14214', 'N14250', 'N17229', 'N18223', 'N26208', 'N33262', 'N33264', 'N35236', 'N37252', 'N37267', 'N37277', 'N54241', 'N73283', 'N76508', 'N76514', 'N76519', 'N76523', 'N76528', 'N77518', 'N77520', 'N77525', 'N78509', 'N87531', 'N53441', 'N61886', 'N62883', 'N62884', 'N62892', 'N62894', 'N63890', 'N64844', 'N66803', 'N66893', 'N67815', 'N67827', 'N68801', 'N68811', 'N68817', 'N68821', 'N68822', 'N68823', 'N68834', 'N68842', 'N68843', 'N68891', 'N69804', 'N69806', 'N69813', 'N69819', 'N69829', 'N69833', 'N69835', 'N69838', 'N69847', 'N69888', 'N74856', 'N75853', 'N75861', 'N78866']"
UA,UAL,ATL,KATL,N,2025-11-09 16:17:00+00:00,"[{'airline_code': 'NZ', 'flight_number': '6419'}]",IAH,KIAH,C,2025-11-09 13:05:00+00:00,1225,['N37434']
UA,UAL,DEN,KDEN,,2025-11-09 13:49:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5199'}, {'airline_code': 'CM', 'flight_number': '8119'}]",MCO,KMCO,B,2025-11-09 11:55:00+00:00,1226,"['N820UA', 'N843UA', 'N854UA', 'N413UA', 'N423UA', 'N449UA', 'N453UA', 'N458UA', 'N466UA', 'N468UA', 'N474UA', 'N490UA', 'N495UA', 'N496UA', 'N12238', 'N13227', 'N14230', 'N14240', 'N14250', 'N27246', 'N33289', 'N35204', 'N35271', 'N36272', 'N37274', 'N38268', 'N73259', 'N73270', 'N73276', 'N73278', 'N76254', 'N76269', 'N76516', 'N77525', 'N87507', 'N87512', 'N87531', 'N37466', 'N38446', 'N38454', 'N39416', 'N61882', 'N61887', 'N62883', 'N62892', 'N63890', 'N65832', 'N66841', 'N66848', 'N66893', 'N67815', 'N67845', 'N67846', 'N68805', 'N68817', 'N68823', 'N68834', 'N68880', 'N69804', 'N69885', 'N75426', 'N77431']"
UA,UAL,LIH,PHLI,,2025-11-09 19:25:00+00:00,"[{'airline_code': 'AV', 'flight_number': '2259'}, {'airline_code': 'LH', 'flight_number': '8928'}]",LAX,KLAX,8,2025-11-09 16:22:00+00:00,1227,"['N76508', 'N76514', 'N76515', 'N76519', 'N76522', 'N76523', 'N76526', 'N76528', 'N76529', 'N76532', 'N77510', 'N77518', 'N77520', 'N77525', 'N77530', 'N78509', 'N78511', 'N78524', 'N79521', 'N87507', 'N87512', 'N87513', 'N87527', 'N12109', 'N12114', 'N12116', 'N12125', 'N13113', 'N14115', 'N14118', 'N14121', 'N17104', 'N17105', 'N17128', 'N19141', 'N29124', 'N29129', 'N48127', 'N67134']"
UA,UAL,SFO,KSFO,3,2025-11-09 00:41:00+00:00,"[{'airline_code': 'NZ', 'flight_number': '6731'}]",EWR,KEWR,C,2025-11-09 21:36:00+00:00,1228,"['N17122', 'N502UA', 'N505UA', 'N510UA', 'N512UA', 'N518UA', 'N546UA', 'N568UA', 'N587UA', 'N588UA', 'N589UA', 'N590UA', 'N596UA', 'N597UA', 'N598UA']"
