GMT,cityId,codeIataCity,codeIso2Country,geonameId,latitudeCity,longitudeCity,nameCity,timezone
-3,6293,RCQ,AR,3429594,-29.183332,-59.7,Reconquista,America/Argentina/Cordoba
-3,6297,RCU,AR,3838874,-33.165558,-64.331665,Rio Cuarto,America/Argentina/Cordoba
-3,6308,RDS,AR,0,-37.38333,-68.9,Rincon de los Sauces,America/Argentina/Salta
-3,6321,REL,AR,3833883,-43.233334,-65.32333,Trelew,America/Argentina/Catamarca
-3,6327,RES,AR,3429577,-27.45139,-59.050835,Resistencia,America/Argentina/Cordoba
-3,6341,RGA,AR,3838854,-53.779167,-67.75,Rio Grande,America/Argentina/Ushuaia
-3,6346,RGL,AR,3838859,-51.61667,-69.28333,Rio Gallegos,America/Argentina/Rio_Gallegos
-3,6353,RHD,AR,3834502,-27.533333,-64.95,Rio Hondo,America/Argentina/Cordoba
-3,6405,RLO,AR,3844377,-32.384445,-65.5525,Merlo,America/Argentina/San_Luis
-3,6457,ROS,AR,3838583,-32.933334,-60.783333,Rosario,America/Argentina/Cordoba
-3,6463,ROY,AR,0,-45.666668,-70.25,Rio Mayo,America/Argentina/Catamarca
-3,6486,RSA,AR,3835994,-36.566666,-64.26667,Santa Rosa,America/Argentina/Salta
-3,6555,RYO,AR,0,-51.583332,-72.21667,Rio Turbio,America/Argentina/Rio_Gallegos
-3,6556,RZA,AR,0,-50.0,-68.53333,Santa Cruz,America/Argentina/Rio_Gallegos
-3,6634,SDE,AR,3834502,-27.765278,-64.32222,Santiago Del Estero,America/Argentina/Cordoba
-3,6681,SFN,AR,3841956,-31.716667,-60.816666,Santa Fe,America/Argentina/Cordoba
-3,6714,SGV,AR,0,-41.566666,-65.35,Sierra Grande,America/Argentina/Salta
-3,6819,SLA,AR,3838233,-24.844217,-65.47849,Salta,America/Argentina/Salta
-3,7007,SST,AR,3428123,-33.416668,-60.783333,Santa Teresita,America/Argentina/Buenos_Aires
-3,7166,SZQ,AR,0,-34.61667,-58.533333,Saenz Pena,America/Argentina/Buenos_Aires
-3,7255,TDL,AR,3427833,-37.333332,-59.083332,Tandil,America/Argentina/Buenos_Aires
-3,7572,TTG,AR,0,-22.533333,-63.833332,Tartagal,America/Argentina/Salta
-3,7588,TUC,AR,3836873,-26.833332,-65.2,Tucuman,America/Argentina/Tucuman
