GMT,airportId,codeIataAirport,codeIataCity,codeIcaoAirport,codeIso2Country,geonameId,latitudeAirport,longitudeAirport,nameAirport,nameCountry,phone,timezone
-8,393,AST,AST,KAST,US,5719409,46.15972,-123.88,Astoria,United States,,America/Los_Angeles
-6,397,ASX,ASX,KASX,US,5257948,46.55,-90.916664,Ashland,United States,,America/Chicago
-6,398,ASY,ASY,,US,0,46.033333,-99.36667,Ashley,United States,,America/Chicago
-6,404,ATE,ATE,,US,4529419,34.233334,-95.61667,Antlers,United States,,America/Chicago
-9,410,ATK,ATK,PATQ,US,5879756,70.5,-157.33333,Atqasuk,United States,,America/Anchorage
-5,411,ATL,ATL,KATL,US,4180439,33.640068,-84.44403,Hartsfield-jackson Atlanta International,United States,800-897-1910,America/New_York
-5,414,ATO,ATO,,US,0,39.333332,-82.1,Ohio University,United States,,America/New_York
-7,418,ATS,ATS,KATS,US,5455805,32.84833,-104.46694,Artesia,United States,,America/Denver
-9,419,ATT,ATT,KATT,US,5879750,60.866943,-162.2675,Atmautluak,United States,,America/Nome
-6,421,ATW,ATW,KATW,US,5266045,44.26011,-88.50994,Outagamie County,United States,,America/Chicago
-6,423,ATY,ATY,KATY,US,5232744,44.90889,-97.15417,Watertown,United States,,America/Chicago
-5,431,AUG,AUG,KAUG,US,4956999,44.318054,-69.79667,Augusta,United States,,America/New_York
-9,435,AUK,AUK,PAUK,US,5879057,62.689167,-164.61084,Alakanuk,United States,,America/Nome
-6,437,AUM,AUM,KAUM,US,5016894,43.666668,-92.98333,Austin,United States,,America/Chicago
-8,438,AUN,AUN,KAUN,US,5325232,38.9,-121.066666,Auburn,United States,,America/Los_Angeles
-6,439,AUO,AUO,KAUO,US,4830825,32.63333,-85.5,Auburn-Opelika,United States,,America/Chicago
-6,443,AUS,AUS,KAUS,US,4673601,30.202545,-97.66706,Austin-bergstrom International,United States,512-530-2242,America/Chicago
-6,447,AUW,AUW,,US,5278133,44.923332,-89.623055,Municipal,United States,,America/Chicago
-6,450,AUZ,AUZ,KARR,US,4883831,41.75,-88.316666,Municipal Airport,United States,,America/Chicago
-5,456,AVL,AVL,KAVL,US,4453066,35.43508,-82.537315,Asheville Regional Airport,United States,,America/New_York
-5,458,AVO,AVO,KAVO,US,4146444,27.6,-81.51667,Municipal,United States,,America/New_York
-5,459,AVP,AVP,KAVP,US,5219496,41.336697,-75.730644,Wilkes-Barre/Scranton International Airport,United States,,America/New_York
-7,462,AVW,TUS,KAVQ,US,5552752,32.416668,-111.21667,Avra Valley,United States,,America/Phoenix
-8,463,AVX,AVX,KAVX,US,5334969,33.341667,-118.31528,Avalon Bay,United States,,America/Los_Angeles
-6,469,AWM,AWM,KAWM,US,4135867,35.13333,-90.183334,Municipal,United States,,America/Chicago
-5,474,AXB,AXB,,US,5106950,44.2525,-75.90139,Alexandria Bay,United States,,America/New_York
-6,478,AXG,AXG,KAXA,US,4846611,43.066666,-94.23333,Algona,United States,,America/Chicago
-6,482,AXN,AXN,KAXN,US,5020871,45.86722,-95.394165,Alexandria,United States,,America/Chicago
-6,485,AXS,LTS,KAXS,US,4529300,34.696667,-99.33806,Municipal,United States,,America/Chicago
-5,488,AXV,AXV,KAXV,US,5175670,40.566666,-84.2,Neil Armstrong,United States,,America/New_York
-7,489,AXX,AXX,,US,5455214,36.416668,-105.28333,Angel Fire,United States,,America/Denver
-5,502,AYS,AYS,KAYS,US,4229774,31.248611,-82.39667,Ware County,United States,,America/New_York
-7,507,AZA,PHX,KIWA,US,5321107,33.307777,-111.655556,Williams Gateway,United States,,America/Phoenix
-5,514,AZO,AZO,KAZO,US,4997799,42.239964,-85.55656,Kalamazoo/Battle Creek International,United States,,America/Detroit
-8,521,BAB,MYV,KBAB,US,5355145,39.15,-121.583336,Beale AFB,United States,,America/Los_Angeles
-6,523,BAD,SHV,,US,0,32.5,-93.666664,Barksdale AFB,United States,,America/Chicago
-5,525,BAF,BAF,KBAF,US,4929766,42.13333,-72.75,Barnes,United States,,America/New_York
-8,531,BAM,BAM,BAMB,US,5705566,40.63333,-116.933334,Lander County,United States,,America/Los_Angeles
-9,535,BAR,BAR,,US,0,55.333332,-133.6,Baker AAF,United States,,America/Sitka
-6,545,BBB,BBB,KBBB,US,5017898,45.316666,-95.6,Municipal,United States,,America/Chicago
-6,546,BBC,BBC,KBYY,US,4672665,28.983334,-95.96667,Bay City,United States,,America/Chicago
-6,547,BBD,BBD,KBBD,US,4684668,31.133333,-99.333336,Curtis Field,United States,,America/Chicago
-5,548,BBF,BBF,,US,0,42.5,-71.183334,Burlington,United States,,America/New_York
-6,564,BBW,BBW,KBBW,US,5064648,41.4,-99.63333,Broken Bow,United States,,America/Chicago
-5,565,BBX,BBX,KLOM,US,5219791,40.136665,-75.2675,Wings Field,United States,,America/New_York
-5,569,BCB,BCB,KBCB,US,4791348,37.233334,-80.416664,Virginia Tech,United States,,America/New_York
-9,570,BCC,BCC,,US,5880392,45.183334,-109.1,Bear Creek,United States,,America/Anchorage
-7,572,BCE,BCE,KBCE,US,5535946,37.70111,-112.13528,Bryce,United States,,America/Denver
-6,585,BCS,BCS,,US,4316329,29.966667,-90.0,Southern Seaplane,United States,,America/Chicago
-5,586,BCT,BCT,KBCT,US,4148413,26.35,-80.083336,Public,United States,,America/New_York
