status,type,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared
landed,arrival,88596C,A321,HS-VKL,VJ,VJC,VietJet Air,2025-11-14T14:01:00.000,2025-11-14T14:01:00.000,4,2,2025-11-14T14:01:00.000,2025-11-14T14:00:00.000,A1,BKK,VTBS,2025-11-14T14:00:00.000,1,,,,,,,2025-11-14T13:07:00.000,2025-11-14T13:07:00.000,,22,2025-11-14T13:07:00.000,,,UBP,VTUU,2025-11-14T12:45:00.000,,VJ221,VJC221,221,
landed,arrival,885312,A320,HS-TXR,MH,MAS,Malaysia Airlines,2025-11-14T09:46:00.000,2025-11-14T09:46:00.000,2,2,2025-11-14T09:46:00.000,2025-11-14T09:45:00.000,,BKK,VTBS,2025-11-14T09:45:00.000,1,tg,tha,thai airways international,tg21,tha21,21,2025-11-14T08:45:00.000,2025-11-14T08:45:00.000,,5,2025-11-14T08:45:00.000,,,UBP,VTUU,2025-11-14T08:40:00.000,,MH5867,MAS5867,5867,
landed,arrival,885312,A320,HS-TXR,GF,GFA,Gulf Air,2025-11-14T09:46:00.000,2025-11-14T09:46:00.000,2,2,2025-11-14T09:46:00.000,2025-11-14T09:45:00.000,,BKK,VTBS,2025-11-14T09:45:00.000,1,tg,tha,thai airways international,tg21,tha21,21,2025-11-14T08:45:00.000,2025-11-14T08:45:00.000,,5,2025-11-14T08:45:00.000,,,UBP,VTUU,2025-11-14T08:40:00.000,,GF6347,GFA6347,6347,
landed,arrival,885312,A320,HS-TXR,TK,THY,Turkish Airlines,2025-11-14T09:46:00.000,2025-11-14T09:46:00.000,2,2,2025-11-14T09:46:00.000,2025-11-14T09:45:00.000,,BKK,VTBS,2025-11-14T09:45:00.000,1,tg,tha,thai airways international,tg21,tha21,21,2025-11-14T08:45:00.000,2025-11-14T08:45:00.000,,5,2025-11-14T08:45:00.000,,,UBP,VTUU,2025-11-14T08:40:00.000,,TK8486,THY8486,8486,
scheduled,arrival,,320,,VZ,TVJ,Thai Vietjet Air,,,,,,,,BKK,VTBS,2025-11-14T17:45:00.000,1,,,,,,,,,,,,,,UBP,VTUU,2025-11-14T16:25:00.000,,VZ225,TVJ225,225,
scheduled,arrival,,320,,TG,THA,Thai Airways International,,,,,,,,BKK,VTBS,2025-11-14T19:00:00.000,1,,,,,,,,,,,,,,UBP,VTUU,2025-11-14T17:55:00.000,,TG29,THA29,29,
landed,arrival,880452,A320,HS-ABR,AK,AXM,AirAsia,2025-11-14T10:24:00.000,2025-11-14T10:24:00.000,3,,2025-11-14T10:24:00.000,2025-11-14T10:22:00.000,A3,BKK,VTBS,2025-11-14T10:45:00.000,1,,,,,,,2025-11-14T09:25:00.000,2025-11-14T09:25:00.000,,,2025-11-14T09:25:00.000,,,URT,VTSB,2025-11-14T09:30:00.000,,AK4213,AXM4213,4213,
scheduled,arrival,,320,,VZ,TVJ,Thai Vietjet Air,,,,,,,,BKK,VTBS,2025-11-14T20:00:00.000,1,,,,,,,,,,,,,,URT,VTSB,2025-11-14T18:50:00.000,,VZ353,TVJ353,353,
unknown,arrival,,320,,VZ,TVJ,Thai Vietjet Air,,,,,,,,BKK,VTBS,2025-11-14T12:40:00.000,1,,,,,,,,,,,,,,URT,VTSB,2025-11-14T11:25:00.000,,VZ351,TVJ351,351,
landed,arrival,8840F8,A319,HS-PGX,PG,BKP,Bangkok Airways,2025-11-14T07:48:00.000,2025-11-14T07:48:00.000,,,2025-11-14T07:48:00.000,2025-11-14T07:59:00.000,,BKK,VTBS,2025-11-14T08:15:00.000,1,,,,,,,2025-11-14T07:03:00.000,2025-11-14T07:03:00.000,,2,2025-11-14T07:03:00.000,2025-11-14T06:48:00.000,,USM,VTSM,2025-11-14T07:01:00.000,,PG102,BKP102,102,
