status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,B739,ABC573,B739,N858DZ,DL,DAL,ATL,KATL,PDX,KPDX,DL888,DAL888,888,10058.4,103.0,44.3987,-113.923,979.708,0.0,0.0,,1763109118
,A339,A4E714,A339,N415DX,DL,DAL,GRU,SBGR,ATL,KATL,DL105,DAL105,105,0.0,253.0,-23.4289,-46.4729,27.78,1.0,0.0,,1763109155
en-route,B763,A17ECD,B763,N196DN,DL,DAL,LIS,LPPT,JFK,KJFK,DL272,DAL272,272,11582.4,105.0,39.7351,-23.3028,998.228,0.0,0.0,,1763109093
en-route,B739,AC733B,B739,N901DN,DL,DAL,DTW,KDTW,SFO,KSFO,DL335,DAL335,335,10668.0,80.0,42.0613,-109.524,1005.64,0.0,0.0,,1763109117
en-route,A339,A4C34C,A339,N406DX,DL,DAL,AMS,EHAM,ATL,KATL,DL74,DAL74,74,11887.2,69.0,50.4086,-6.2809,900.072,0.0,0.0,,1763109137
en-route,A339,A4BF95,A339,N405DX,DL,DAL,DUB,EIDW,BOS,KBOS,DL154,DAL154,154,11872.0,65.0,51.762,-12.4199,892.664,0.0,0.0,,1763109132
en-route,B752,A91D8E,B752,N687DL,DL,DAL,ATL,KATL,PHX,KPHX,DL929,DAL929,929,11277.6,86.0,35.9456,-101.095,942.668,0.0,0.0,,1763109038
en-route,B739,ABECE7,B739,N868DN,DL,DAL,ATL,KATL,GEG,KGEG,DL683,DAL683,683,10058.4,110.0,46.6529,-114.368,933.408,0.0,0.0,,1763109118
en-route,B739,AB3133,B739,N820DN,DL,DAL,ATL,KATL,LAX,KLAX,DL320,DAL320,320,9509.76,81.0,35.3322,-115.91,951.928,0.0,0.0,,1763109118
landed,A339,A4CE71,A339,N409DX,DL,DAL,AMS,EHAM,MSP,KMSP,DL162,DAL162,162,0.0,272.0,52.3108,4.7703,22.224,1.0,0.0,,1763109147
,A339,A539C9,A339,N436DX,DL,DAL,FCO,LIRF,ATL,KATL,DL66,DAL66,66,11887.2,110.0,45.7271,4.3475,875.996,0.0,0.0,,1763109140
en-route,B764,AB5975,B764,N830MH,DL,DAL,DUB,EIDW,JFK,KJFK,DL44,DAL44,44,7322.82,59.0,52.7323,-8.1803,857.476,0.0,0.0,,1763109130
en-route,A359,A69F90,A359,N526DN,DL,DAL,CDG,LFPG,LAX,KLAX,DL290,DAL290,290,11887.2,66.0,62.299,-65.0699,948.224,0.0,0.0,,1763109128
en-route,A333,AAF968,A333,N806NW,DL,DAL,CDG,LFPG,ATL,KATL,DL84,DAL84,84,10668.0,66.0,44.4049,-35.6805,1029.71,0.0,0.0,,1763109113
en-route,A339,A4B0BB,A339,N401DZ,DL,DAL,JFK,KJFK,EZE,SAEZ,DL114,DAL114,114,11582.4,334.0,17.6212,-62.9074,851.92,0.0,0.0,,1763109124
landed,B763,A0563B,B763,N1201P,DL,DAL,LAX,KLAX,JFK,KJFK,DL752,DAL752,752,0.0,264.0,33.9483,-118.409,20.372,1.0,0.0,,1763109134
en-route,B763,A16FF1,B763,N192DN,DL,DAL,EDI,EGPH,JFK,KJFK,DL208,DAL208,208,10675.6,54.0,52.2815,-13.4313,937.112,0.0,0.0,,1763109132
en-route,B763,A1863B,B763,N198DN,DL,DAL,HND,RJTT,HNL,PHNL,DL181,DAL181,181,10828.0,316.0,33.7318,142.846,724.132,0.0,0.0,,1763109119
